timestamp,attacker_name,tactic,technique,attack_vector,severity,affected_system,ip_address,user_account,region,status,severity_num,attack_vector_num,region_num,hour,day,month,anomaly
2020-07-31 23:59:48.966953,Timothy Gonzalez,Credential Access,Credential Dumping,Email,Low,stuff,15.181.174.143,fwade,Europe,Successful,1,0,3,23,31,7,-1
2023-01-02 23:57:39.312235,Emily Mendoza,Lateral Movement,Exploitation of Vulnerability,Phishing,High,raise,112.39.250.231,jnorris,Africa,Failed,3,2,0,23,2,1,-1
2021-01-17 00:40:39.712626,David Davis,Initial Access,Ransomware,Email,Critical,example,197.236.52.39,njackson,Asia,Failed,4,0,1,0,17,1,-1
2021-07-30 20:02:47.550290,Randy Hogan,Initial Access,PowerShell,Web,Medium,national,68.205.114.97,allenkristy,US,Successful,2,4,5,20,30,7,-1
2023-01-30 09:39:43.617273,Brenda Navarro,Exfiltration,Exploitation of Vulnerability,Web,Medium,reality,130.247.147.136,vdeleon,US,Failed,2,4,5,9,30,1,-1
2023-10-31 18:55:30.842179,Regina Glass,Impact,Network Sniffing,Email,High,sing,177.51.181.12,david84,Africa,Successful,3,0,0,18,31,10,-1
2021-12-02 07:18:33.660830,Leah Williams,Discovery,Command and Scripting Interpreter,USB,Medium,above,18.40.188.17,lindseygreen,US,Successful,2,3,5,7,2,12,-1
2023-01-04 23:41:14.457261,Edward Gill,Discovery,Ransomware,Network,Critical,rest,93.133.10.142,ryanwall,Asia,Successful,4,1,1,23,4,1,-1
2023-10-03 11:18:22.987755,Danielle Carter,Discovery,Taint Shared Content,Web,Low,human,70.178.76.20,chelseatodd,US,Successful,1,4,5,11,3,10,-1
2022-12-31 11:18:21.902901,Daniel Diaz,Persistence,Command and Scripting Interpreter,Email,Low,behavior,154.27.160.107,stephanie71,Africa,Failed,1,0,0,11,31,12,-1
2023-06-01 00:10:06.345320,Peter Logan,Persistence,Phishing,Network,Critical,week,140.187.173.108,joseph43,Africa,Failed,4,1,0,0,1,6,-1
2024-01-03 03:40:50.271082,Wanda Stephens DDS,Persistence,Data Encrypted,Web,Medium,oil,80.51.176.215,dcraig,US,Failed,2,4,5,3,3,1,-1
2024-01-20 23:59:47.767418,Michael Davila,Initial Access,Access Token Manipulation,Web,Low,again,43.51.216.209,jason62,South America,Failed,1,4,4,23,20,1,-1
2023-12-30 07:21:51.604251,Troy Coleman,Collection,Command and Scripting Interpreter,USB,Critical,travel,112.135.101.231,zacharytaylor,South America,Failed,4,3,4,7,30,12,-1
2023-10-02 15:54:18.514953,Joel Miles,Exfiltration,Taint Shared Content,Web,Low,fast,62.182.230.7,amberanderson,US,Successful,1,4,5,15,2,10,-1
2022-12-30 18:02:13.619441,Raymond Henry,Impact,Ransomware,Web,High,first,83.118.148.141,jonesjeffrey,Asia,Successful,3,4,1,18,30,12,-1
2024-02-05 00:22:24.368986,Denise Lewis,Lateral Movement,Ransomware,Email,Low,maintain,73.179.79.233,christopher27,Africa,Successful,1,0,0,0,5,2,-1
2022-12-27 11:53:16.815245,Thomas Cummings,Defense Evasion,Network Sniffing,Email,Critical,someone,157.117.116.75,leonjoel,Africa,Successful,4,0,0,11,27,12,-1
2022-02-01 02:30:36.859643,Donald Davis,Defense Evasion,Phishing,Email,High,wall,47.160.248.9,christinaspencer,Asia,Failed,3,0,1,2,1,2,-1
2024-02-22 00:06:38.743110,April Crawford,Execution,Access Token Manipulation,Network,Low,off,48.37.29.143,rhowell,US,Failed,1,1,5,0,22,2,-1
2023-07-03 21:49:09.160296,Rachel Johnson,Impact,Ransomware,Web,High,pressure,181.254.197.192,ryan60,Africa,Failed,3,4,0,21,3,7,-1
2024-01-03 11:55:42.125782,Steven Stephens,Defense Evasion,Taint Shared Content,Web,Medium,find,11.20.255.7,mannchristopher,Africa,Failed,2,4,0,11,3,1,-1
