timestamp,attacker_name,tactic,technique,attack_vector,severity,affected_system,ip_address,user_account,region,status
2020-04-20 17:57:34.401922,Mercedes Martinez,Discovery,PowerShell,Network,Low,factor,116.86.100.135,ngordon,Asia,Successful
2023-03-05 03:29:11.830718,Catherine Mccann,Credential Access,Data Encrypted,Network,Critical,stage,15.174.57.112,vargasmark,South America,Successful
2021-07-27 11:03:13.745325,David Perry,Defense Evasion,Taint Shared Content,Network,Medium,audience,6.54.6.114,christinatucker,Africa,Successful
2022-06-20 14:02:31.739944,Amanda Payne,Persistence,Ransomware,USB,Critical,less,154.26.26.91,leslie21,Australia,Failed
2022-02-21 15:56:39.431390,Kimberly Rodriguez,Defense Evasion,PowerShell,Network,Low,range,200.189.50.184,briannunez,US,Successful
2021-09-18 14:44:48.647846,Jeremiah Stuart,Exfiltration,Network Sniffing,USB,Medium,suggest,153.51.241.245,torresjeremiah,Europe,Successful
2020-11-04 18:18:56.484323,William Norman,Persistence,Network Sniffing,USB,Low,as,124.236.237.13,abigailheath,Europe,Successful
2022-03-20 21:50:48.152840,Aaron Curry,Lateral Movement,Taint Shared Content,Phishing,Critical,poor,88.98.30.177,gonzalezbrittany,Europe,Failed
2020-08-13 05:59:29.813625,Victor Jacobson,Collection,Spearphishing Attachment,Web,High,production,20.141.202.196,wjohnson,South America,Failed
2020-04-26 11:04:51.949409,Roy Robles,Lateral Movement,Command and Scripting Interpreter,Phishing,Low,one,48.44.11.48,james31,US,Failed
2022-03-21 14:17:33.547351,Wendy Thomas,Lateral Movement,Network Sniffing,USB,Critical,shoulder,116.254.125.157,moralescarol,South America,Successful
2021-08-20 05:26:56.005133,Julie Hernandez,Discovery,Network Sniffing,Network,Critical,policy,1.144.74.122,garrettbender,Africa,Successful
2024-03-25 16:15:25.110705,Allen Morris,Defense Evasion,Data Encrypted,USB,High,score,61.184.18.182,afox,Australia,Successful
2020-01-09 19:58:39.213060,Michael Vaughan,Execution,Credential Dumping,Email,Critical,civil,90.53.52.119,nancyspencer,Australia,Successful
2021-11-05 05:16:02.912328,James Reed,Persistence,Data Encrypted,Phishing,Medium,thank,26.160.25.72,lopezangela,US,Failed
2022-12-27 05:49:48.035884,Tyler Reed,Exfiltration,Phishing,USB,Medium,five,6.220.46.79,hectorsmith,US,Successful
2024-09-08 03:50:26.441558,Cassidy Bender,Defense Evasion,Phishing,Phishing,High,sister,211.43.117.5,qduarte,Europe,Successful
2021-01-21 06:53:42.762156,Joseph Hill,Privilege Escalation,Command and Scripting Interpreter,Phishing,High,statement,18.152.105.12,garyburns,South America,Failed
2021-01-11 21:24:55.637603,Michael Eaton,Defense Evasion,Exploitation of Vulnerability,USB,Medium,thousand,110.140.104.212,villanuevabrandon,South America,Successful
2023-06-07 23:48:31.096390,Cody Cook,Impact,Phishing,Email,High,amount,174.232.143.74,davidmiller,Australia,Successful
2021-06-15 23:00:32.557368,Joshua Christensen,Impact,Exploitation of Vulnerability,Email,High,later,15.31.70.193,allison97,South America,Successful
2021-03-07 04:39:51.654179,Carol Sanders DVM,Impact,PowerShell,Network,Critical,add,9.163.146.78,zroberson,Australia,Failed
2021-03-05 13:00:55.780315,Robert Kerr,Persistence,Ransomware,Web,Medium,kind,31.225.18.137,michaelscott,Europe,Successful
2022-02-14 12:38:18.692193,Sandra Sims,Defense Evasion,Spearphishing Attachment,Phishing,High,up,36.12.210.28,jamie61,Africa,Failed
2024-05-18 03:12:02.898879,Danielle Jones,Persistence,Data Encrypted,USB,Low,election,4.24.81.17,csimmons,Asia,Successful
2021-08-30 02:41:54.677864,Kristen Lamb,Initial Access,Spearphishing Attachment,Email,High,worry,129.191.214.54,patricia69,South America,Successful
2021-07-18 09:09:23.876776,Nicole Austin,Lateral Movement,Command and Scripting Interpreter,USB,Low,alone,57.129.86.129,pughkimberly,US,Failed
2020-02-27 19:31:21.066580,Brittany Hernandez,Execution,Command and Scripting Interpreter,Email,Low,son,145.18.105.137,david61,Australia,Successful
2020-04-19 07:28:16.165168,Mark Adams,Exfiltration,Credential Dumping,Email,Medium,boy,191.85.6.64,thomashannah,South America,Failed
2024-01-27 14:01:01.543803,Nancy Duran,Defense Evasion,Ransomware,Network,Low,high,109.232.181.92,whitebrittany,US,Failed
2022-07-06 09:21:09.427483,Stephen Evans,Impact,Phishing,Web,Critical,out,41.234.203.31,julie09,South America,Failed
2022-08-22 01:29:45.371063,Karen Moss,Exfiltration,PowerShell,Web,Low,great,184.68.34.68,kyle62,US,Successful
2024-07-23 19:42:41.759243,Erica Davis,Defense Evasion,Spearphishing Attachment,Web,Low,song,89.18.248.15,barnescharles,South America,Failed
2023-04-17 14:07:58.953424,Jessica Jackson,Collection,Command and Scripting Interpreter,Network,Medium,he,158.22.24.205,phillip63,Europe,Failed
2023-08-02 09:27:52.410290,Christopher Santiago,Credential Access,Credential Dumping,Phishing,High,present,67.51.63.44,charles00,Africa,Failed
2020-11-16 15:31:38.749741,Timothy Avery,Initial Access,Spearphishing Attachment,Web,Low,teacher,215.31.179.145,stewartrodney,Asia,Successful
2020-04-14 14:09:58.458436,Nathan Davis,Exfiltration,Ransomware,Web,Medium,fall,211.85.162.206,nicholesmith,Europe,Successful
2024-10-02 13:51:35.243808,Nicholas Pope,Credential Access,Exploitation of Vulnerability,Phishing,Critical,role,207.66.131.38,kimberlycombs,Africa,Successful
2024-01-23 20:01:41.480440,Stephanie Huffman,Initial Access,Access Token Manipulation,Email,Medium,effort,211.233.0.175,taylordustin,Europe,Successful
2021-05-28 01:22:58.659470,Tina Norman,Lateral Movement,Ransomware,Phishing,High,heavy,191.69.135.214,nancy25,US,Failed
2022-01-23 20:41:38.971400,Kyle Schultz,Exfiltration,Exploitation of Vulnerability,Web,Critical,man,5.165.175.138,jessicasalas,Europe,Failed
2020-10-29 11:11:44.349996,James Gonzalez,Lateral Movement,Ransomware,Network,Low,less,10.125.179.27,lauriemedina,Australia,Successful
2023-08-12 06:42:34.156795,Phyllis Aguilar,Lateral Movement,Network Sniffing,USB,Medium,letter,170.7.15.32,toddpamela,US,Successful
2020-04-15 15:41:50.677904,Roger Yu,Discovery,Phishing,Email,Low,position,114.34.14.123,swhite,Europe,Failed
2020-08-03 13:28:14.695124,Kevin Riley,Defense Evasion,Taint Shared Content,Email,Low,leg,168.74.130.77,mooredavid,Africa,Successful
2022-05-26 10:49:15.841939,Julian Cain,Defense Evasion,Credential Dumping,Email,Critical,pull,100.231.248.55,emma13,Australia,Failed
2024-06-09 12:17:36.443049,Mitchell Thomas,Exfiltration,PowerShell,Network,High,hand,19.250.229.50,sheri45,Africa,Failed
2023-03-21 23:12:42.257896,Patricia Cantu,Impact,Phishing,Email,High,process,21.132.222.126,hernandezapril,Europe,Failed
2020-03-15 09:55:39.542237,Rebecca Nielsen,Lateral Movement,Access Token Manipulation,Email,Low,station,199.95.104.128,xmurphy,Africa,Successful
2021-08-02 08:15:03.800391,Luke Best,Exfiltration,Network Sniffing,Phishing,Low,front,57.103.25.151,wmorgan,US,Failed
2024-07-12 19:26:30.940372,Maria Harvey,Discovery,Exploitation of Vulnerability,Network,Low,no,52.141.71.233,matthewyoung,Australia,Successful
2024-08-17 22:28:12.711453,Todd Ortiz,Impact,PowerShell,USB,Low,until,195.229.223.150,tyler79,Australia,Failed
2022-03-13 22:15:39.167903,Julie Mccann,Execution,Network Sniffing,Web,High,old,46.167.61.123,nhayes,Africa,Successful
2024-09-24 15:23:10.583918,Dennis Reyes,Lateral Movement,Access Token Manipulation,Email,Low,population,205.8.249.0,tellis,South America,Failed
2024-06-25 13:25:26.894431,Jill Roberts MD,Persistence,Exploitation of Vulnerability,Email,Low,fall,183.73.105.2,joshuajensen,Europe,Successful
2022-05-08 13:15:54.114982,Diane Maldonado,Execution,Credential Dumping,Web,Low,nation,59.55.65.252,egardner,South America,Failed
2022-06-10 09:57:40.339405,Courtney Flores,Discovery,Command and Scripting Interpreter,Network,High,during,201.23.164.23,joseph53,Asia,Failed
2021-02-10 07:54:34.220993,Nicholas Bates,Impact,Taint Shared Content,Web,High,professor,40.133.106.136,uthomas,South America,Successful
2020-07-18 09:11:34.098840,Mr. Vernon Carrillo,Privilege Escalation,Credential Dumping,Web,Low,money,18.250.184.252,gbowers,Australia,Failed
2020-04-21 20:23:05.535921,Margaret Gamble,Persistence,Credential Dumping,Phishing,High,sure,201.115.93.23,lblevins,Asia,Failed
2021-11-20 12:17:20.540290,Thomas Rose,Exfiltration,Network Sniffing,USB,Critical,why,30.49.36.95,stephaniebryan,US,Successful
2021-11-02 11:19:33.215072,David Arroyo,Persistence,Exploitation of Vulnerability,USB,Low,recent,122.27.179.195,martinezkelly,Australia,Successful
2023-10-16 04:52:06.019106,Patrick Petty,Credential Access,Data Encrypted,Phishing,Critical,strong,178.131.24.20,fhumphrey,Asia,Successful
2024-04-13 17:32:41.161083,Jeff Hatfield,Impact,Credential Dumping,Phishing,High,first,169.25.18.157,perezscott,US,Successful
2022-02-12 17:06:04.930598,Matthew Haney,Collection,Network Sniffing,Web,Low,several,49.149.178.132,colemanleslie,South America,Failed
2021-02-15 13:30:11.068534,Patricia Evans,Discovery,Spearphishing Attachment,Network,Critical,wonder,52.4.183.151,caitlinmartin,US,Successful
2021-11-13 09:04:30.635782,Robert Conley,Discovery,Spearphishing Attachment,Email,Medium,economic,76.68.102.194,scott12,US,Failed
2021-10-03 03:23:10.009527,Robert Green,Execution,Credential Dumping,Email,Medium,city,48.195.33.197,munozpaige,Africa,Successful
2020-10-14 06:45:34.777891,Judith Mendoza,Impact,Network Sniffing,USB,Medium,ok,125.167.57.184,lmendoza,Australia,Successful
2023-06-22 09:42:05.462665,Yvonne Johnson,Impact,Command and Scripting Interpreter,Network,Medium,fact,138.217.112.77,joseph66,South America,Failed
2021-10-26 10:33:44.548285,David Knight,Collection,Exploitation of Vulnerability,USB,Low,market,77.27.226.5,millerpaul,US,Failed
2023-05-01 01:56:20.351843,Brian Oconnell,Persistence,Credential Dumping,Web,Low,none,20.6.0.55,judy21,Australia,Successful
2024-08-21 05:08:28.346412,Brad Hanson,Execution,Access Token Manipulation,Web,High,condition,32.95.18.179,hkelley,Asia,Failed
2024-02-15 11:12:31.160595,Joseph Tran,Credential Access,Phishing,Email,Critical,want,170.28.144.204,wlee,US,Failed
2020-04-26 15:27:46.777006,Janet Huang,Execution,Taint Shared Content,Network,High,sport,92.87.245.94,teresaharrison,Australia,Failed
2023-04-04 03:34:42.097506,David Johnson,Persistence,Taint Shared Content,Phishing,Critical,left,95.15.34.15,jeff75,Africa,Successful
2023-08-17 02:27:30.670716,Angelica Cox,Defense Evasion,Phishing,USB,Medium,seven,165.7.102.201,clintonoconnell,Asia,Successful
2021-10-05 16:59:32.666989,Barbara Graves,Lateral Movement,Data Encrypted,Network,Low,be,138.213.137.46,whitetimothy,US,Failed
2021-01-31 00:58:07.048700,Karen Thomas,Impact,Taint Shared Content,Web,Low,after,71.36.173.80,davemyers,Africa,Failed
2020-05-26 20:12:28.296684,Patrick Cervantes,Impact,Phishing,Network,Medium,charge,12.171.27.235,briansparks,South America,Successful
2021-05-15 09:11:26.168095,Glen Mccormick,Initial Access,Credential Dumping,Network,Low,range,47.31.253.80,nealcraig,Australia,Successful
2022-08-19 00:19:12.315401,Alyssa Brewer,Discovery,Command and Scripting Interpreter,Email,Critical,raise,206.147.16.244,wmitchell,South America,Failed
2021-03-19 22:17:50.313530,Sharon Little,Initial Access,Access Token Manipulation,Web,High,few,160.4.95.247,michael97,South America,Failed
2020-03-10 12:59:41.834966,Lee Castillo,Lateral Movement,Network Sniffing,USB,High,use,115.179.207.250,hillgregory,Africa,Successful
2020-12-10 06:33:17.799336,Denise Brown,Privilege Escalation,Command and Scripting Interpreter,Web,High,watch,31.212.205.18,samantha80,Australia,Failed
2022-02-02 18:33:48.151883,Ricky Holloway,Privilege Escalation,Phishing,Network,Low,kid,141.250.17.13,christopher22,Australia,Successful
2024-09-18 12:26:09.596046,Colleen Nguyen,Discovery,PowerShell,Network,Low,he,218.28.3.58,jake37,South America,Failed
2021-09-13 16:59:14.237058,Joel Miller,Collection,Ransomware,Web,Medium,none,46.208.78.54,petergonzales,South America,Successful
2021-10-27 21:47:42.367299,Pamela Vang,Impact,Spearphishing Attachment,Web,Low,certainly,180.217.220.175,dclayton,US,Successful
2024-03-12 13:51:57.910109,Douglas Logan,Impact,PowerShell,Network,High,you,98.211.179.36,harrisedward,Africa,Failed
2023-05-11 00:15:00.962064,Michelle Chan,Initial Access,Spearphishing Attachment,Email,High,quickly,177.204.142.202,mooregary,Europe,Failed
2020-12-24 01:22:27.588484,Gabrielle Horne,Persistence,Spearphishing Attachment,USB,Medium,create,176.116.57.222,nicholsoncody,Asia,Successful
2021-08-13 16:20:57.123767,Mary Benitez,Defense Evasion,Network Sniffing,Network,High,fly,83.95.114.237,isantana,Asia,Successful
2022-08-12 06:42:13.811876,Andrea Hernandez,Privilege Escalation,Spearphishing Attachment,Phishing,Low,coach,150.23.105.233,twilliams,South America,Failed
2024-10-23 01:56:29.619908,Amber Moore,Execution,Phishing,Phishing,High,keep,59.226.129.67,ashley03,Europe,Failed
2023-08-16 19:06:11.190561,Angela Rose,Lateral Movement,Exploitation of Vulnerability,USB,Critical,maintain,18.171.100.84,vanessa11,Australia,Failed
2021-01-10 04:47:50.507543,Richard Villarreal,Execution,Data Encrypted,Email,Medium,economic,177.85.108.106,derrickhernandez,US,Successful
2024-04-08 19:27:15.543524,Shawn Knight,Persistence,Spearphishing Attachment,Email,Low,thing,142.49.146.182,dustinbrown,Asia,Successful
2023-12-26 22:52:34.950405,Katherine Clark,Privilege Escalation,Credential Dumping,USB,Medium,beat,153.162.82.214,bryan84,Australia,Failed
2021-01-22 16:04:34.410814,Amanda Miller,Execution,Access Token Manipulation,Web,High,ready,112.111.215.142,zharris,US,Successful
2022-04-23 04:04:22.299789,Thomas Ellis,Privilege Escalation,Command and Scripting Interpreter,Email,Low,various,105.80.196.124,joshuabyrd,Asia,Failed
2020-07-20 20:43:13.600131,Mario Fuller,Exfiltration,Taint Shared Content,USB,Medium,collection,79.204.83.129,kevin89,Africa,Failed
2020-05-06 23:46:27.515607,Vickie Huang,Defense Evasion,Network Sniffing,Email,Medium,behavior,182.54.187.88,gvelasquez,Africa,Successful
2024-02-18 17:16:07.766073,Pam Garrett,Credential Access,Ransomware,Phishing,Medium,coach,134.159.236.155,cheryl79,US,Failed
2020-03-27 14:08:10.938496,Brian Price,Initial Access,PowerShell,Web,Medium,blood,39.222.229.79,clarkjoshua,Europe,Successful
2022-04-16 14:37:45.376756,Dennis Wright,Execution,Ransomware,Phishing,Medium,space,145.72.18.189,anthonysanchez,Australia,Failed
2023-03-08 05:42:48.043129,Jessica Reeves,Credential Access,Taint Shared Content,Phishing,High,capital,120.57.29.223,qwhite,Africa,Successful
2023-03-03 23:25:42.932151,Phillip Miller,Privilege Escalation,Spearphishing Attachment,Phishing,Medium,wish,149.215.109.74,andrewwhite,Europe,Failed
2024-02-28 06:36:51.888364,Jeffrey Lewis,Impact,Access Token Manipulation,Network,Critical,chance,193.230.51.148,hvaldez,South America,Failed
2022-04-20 12:35:20.820427,Lance Simpson,Privilege Escalation,PowerShell,USB,Low,series,209.164.51.47,tinaharris,Africa,Successful
2021-04-22 19:45:02.883416,Anne Campbell,Impact,Credential Dumping,Phishing,Low,never,41.153.130.241,angelica44,Australia,Failed
2024-06-19 11:31:33.726168,Kyle Johnson,Collection,Network Sniffing,USB,Medium,form,222.83.221.224,patrickgardner,Asia,Failed
2023-05-09 15:16:53.049788,Paul Cooke,Credential Access,Ransomware,Network,High,body,134.109.198.177,willisjamie,Australia,Failed
2024-04-15 04:45:29.182025,Gregory Jacobs,Defense Evasion,Taint Shared Content,USB,Critical,manager,7.184.158.106,butleralexandra,Africa,Failed
2022-04-27 23:54:37.278947,Joe Price,Defense Evasion,Exploitation of Vulnerability,USB,High,beyond,41.101.0.29,marvin71,Africa,Successful
2022-09-10 13:25:15.083179,Chad Cooper,Persistence,Exploitation of Vulnerability,Email,Low,billion,33.92.211.148,jjones,South America,Successful
2024-09-08 22:39:26.096441,Sarah Castaneda,Initial Access,PowerShell,Network,High,particularly,22.164.61.183,madison05,US,Failed
2022-12-10 10:20:50.565872,Dr. Alexandra Wood,Execution,Network Sniffing,USB,Low,forget,48.245.88.64,fwolfe,Asia,Failed
2020-08-06 03:17:33.147861,John Humphrey,Initial Access,Exploitation of Vulnerability,Phishing,Critical,choice,51.70.140.58,jessica42,Europe,Failed
2021-07-09 05:14:09.159658,Jasmine Alexander,Impact,Ransomware,Phishing,Medium,concern,32.134.103.204,nmurray,Asia,Failed
2023-11-22 12:08:12.408465,Dustin Ryan,Impact,Phishing,Phishing,Medium,war,208.153.178.254,annahayes,Africa,Successful
2020-05-23 17:12:16.661421,Mark Washington,Persistence,Data Encrypted,Phishing,High,grow,201.143.217.154,troy19,Europe,Failed
2023-07-16 14:01:00.108641,Jennifer Odonnell,Collection,Command and Scripting Interpreter,Network,Critical,fast,106.179.2.25,phelpskarl,South America,Successful
2020-04-09 21:12:43.394026,James Manning,Impact,Access Token Manipulation,USB,Medium,term,24.164.29.102,johnsonpaul,Australia,Failed
2024-01-07 20:21:55.639921,Christopher Thompson,Execution,PowerShell,USB,High,general,76.78.61.75,ruben56,South America,Successful
2020-09-30 23:03:56.817972,Samantha English,Execution,Ransomware,USB,Low,true,58.152.183.255,owensjacob,Asia,Successful
2022-09-25 11:17:09.527729,Scott Lang,Credential Access,Network Sniffing,Phishing,Critical,vote,38.172.140.75,josewilkerson,South America,Successful
2023-02-05 11:54:43.279189,Ronald Jones,Execution,Ransomware,Network,Critical,team,86.166.177.179,dbaker,Asia,Failed
2020-03-28 12:26:23.643431,Terri Frank,Privilege Escalation,Credential Dumping,Web,Low,foot,41.210.196.19,emily32,South America,Failed
2024-07-08 22:05:06.763402,Alyssa Taylor,Lateral Movement,Taint Shared Content,Email,High,enter,154.42.225.93,christopher01,Europe,Successful
2021-01-21 00:09:19.620008,Christopher Gray,Execution,Exploitation of Vulnerability,Web,High,work,109.163.104.93,mcintoshsamantha,Asia,Successful
2023-09-06 20:39:32.419237,Miss Kristin Freeman,Discovery,Phishing,Network,Medium,realize,104.225.111.237,samuelcallahan,South America,Successful
2021-07-03 07:08:28.021846,Victor Sanchez,Exfiltration,Network Sniffing,Web,Low,cause,215.111.104.213,simmonschristopher,Asia,Successful
2024-05-17 09:18:57.509450,Joanne Fuller,Lateral Movement,Network Sniffing,USB,High,evidence,107.244.171.246,victorialopez,South America,Successful
2023-08-09 23:27:31.624349,Rebecca Riley,Exfiltration,Command and Scripting Interpreter,Web,Medium,upon,181.19.106.22,ebennett,Africa,Failed
2022-10-17 17:47:17.483270,Crystal Graham,Discovery,Phishing,Phishing,High,herself,110.122.75.134,jaime62,US,Failed
2020-10-30 17:52:52.673280,Latoya Ramirez,Discovery,Command and Scripting Interpreter,Phishing,Critical,red,176.43.39.65,amalone,US,Failed
2021-04-02 21:45:45.881206,Miguel Robbins,Persistence,Command and Scripting Interpreter,Web,Critical,cost,105.74.76.34,gilbertjoshua,Africa,Successful
2020-03-14 19:34:08.699939,Robert Mann,Collection,PowerShell,Email,High,best,75.63.235.223,tonya67,South America,Failed
2022-11-01 14:07:07.263151,Christopher Jenkins,Lateral Movement,Data Encrypted,Phishing,Critical,party,56.213.165.105,david98,South America,Successful
2021-08-13 05:27:56.927572,Richard Rodriguez,Defense Evasion,Command and Scripting Interpreter,Network,High,me,84.219.57.15,alicia00,South America,Successful
2021-10-12 17:59:10.033334,Nicole Chang,Lateral Movement,Phishing,USB,Critical,scene,179.49.183.239,rivascameron,Africa,Failed
2020-01-17 12:19:34.064789,Patricia Medina,Collection,Spearphishing Attachment,Network,Critical,tree,151.97.76.59,barbara16,Europe,Failed
2021-10-21 05:26:24.034307,Philip Jacobson,Impact,Network Sniffing,Phishing,Low,pattern,174.23.103.177,robert10,Africa,Successful
2021-06-19 01:14:54.385227,Jason Harris,Lateral Movement,Access Token Manipulation,Phishing,High,follow,216.186.227.48,denise97,South America,Failed
2021-11-10 07:35:19.347231,Ms. Carol Miller DVM,Collection,Taint Shared Content,Network,Medium,table,162.59.229.80,jeffrey14,Europe,Successful
2020-11-23 04:19:07.154500,John Byrd,Discovery,Access Token Manipulation,Phishing,Low,way,63.26.155.69,teresa59,Australia,Failed
2023-05-29 16:34:38.959554,Marissa Forbes,Privilege Escalation,Spearphishing Attachment,Phishing,Low,build,203.15.253.207,briannalee,Africa,Successful
2022-04-23 10:18:33.459419,Julie Koch,Credential Access,PowerShell,Email,Low,make,85.139.231.200,gvillegas,Africa,Failed
2021-12-13 19:10:53.318275,Ashley May,Exfiltration,Exploitation of Vulnerability,Web,Low,charge,136.29.42.34,paullewis,Asia,Failed
2022-12-15 15:19:52.046190,David Taylor,Persistence,Network Sniffing,Web,High,itself,186.105.223.185,amyle,Africa,Successful
2022-10-22 04:57:09.765867,Melissa Johnson,Persistence,Exploitation of Vulnerability,USB,High,probably,169.24.12.195,jennifer51,US,Successful
2022-03-30 11:31:05.589123,Michelle Holland,Privilege Escalation,Taint Shared Content,Phishing,Critical,hundred,21.254.69.154,eestrada,Africa,Successful
2024-08-03 18:57:40.064354,Robert Reyes,Defense Evasion,Access Token Manipulation,Email,Medium,know,151.74.124.208,stephenyoung,US,Successful
2022-07-02 21:13:48.593834,Edwin Dalton,Defense Evasion,Command and Scripting Interpreter,USB,High,realize,182.85.138.17,joyce58,South America,Failed
2022-05-16 20:48:33.489276,Michael Daniels,Credential Access,PowerShell,USB,Critical,hit,150.34.104.76,tracy08,Asia,Successful
2020-02-04 17:45:50.549030,Amy Patel,Initial Access,Access Token Manipulation,Email,Critical,art,74.64.128.249,davidthompson,Asia,Failed
2022-06-23 08:48:48.666403,Brenda Mitchell,Exfiltration,Command and Scripting Interpreter,USB,Low,fill,161.107.50.140,harrisonkayla,US,Successful
2020-10-25 18:56:02.444575,Robert Leonard,Discovery,Credential Dumping,Network,Medium,fill,89.36.24.214,orrsara,Africa,Failed
2023-12-20 01:45:18.325294,Joshua Vazquez,Execution,Command and Scripting Interpreter,Email,Low,enough,60.45.242.191,jonesluis,South America,Failed
2020-04-23 21:24:04.492453,Michael Jones,Persistence,Credential Dumping,Phishing,Medium,individual,25.56.224.162,susanyoung,US,Successful
2023-02-23 01:54:56.104785,Stacey Evans,Discovery,PowerShell,Email,High,road,65.241.82.72,robinsonsabrina,Europe,Failed
2023-02-28 17:47:38.304093,Veronica Sullivan,Initial Access,PowerShell,Web,Low,part,162.128.30.252,bhubbard,Europe,Successful
2024-04-18 10:39:27.512807,Julie Jensen,Collection,Exploitation of Vulnerability,USB,High,hotel,199.187.243.107,imccoy,Australia,Successful
2020-03-11 13:11:23.698629,Ronald Howard,Discovery,Access Token Manipulation,Web,Medium,no,108.136.191.36,goodmankathleen,US,Successful
2020-09-24 14:14:57.859253,Joshua Valenzuela,Privilege Escalation,Credential Dumping,Phishing,Medium,himself,40.84.187.247,juliahenderson,Asia,Successful
2021-09-02 02:46:51.609058,Victoria Marshall,Privilege Escalation,Access Token Manipulation,USB,Medium,build,31.141.177.166,deborah58,Europe,Failed
2020-12-17 02:44:35.393977,Kenneth Cummings,Lateral Movement,Exploitation of Vulnerability,Email,Low,far,53.130.55.65,knicholson,Europe,Successful
2022-06-24 02:19:34.845323,Mark Hale,Defense Evasion,Access Token Manipulation,Network,Medium,play,24.99.59.147,nodonnell,South America,Failed
2020-05-07 04:59:28.468235,Caroline Rodriguez,Credential Access,Taint Shared Content,USB,Medium,until,35.169.219.41,jonesandrea,Asia,Failed
2024-02-13 07:25:12.268248,Mr. Michael Benton,Exfiltration,Phishing,USB,Low,together,92.185.120.140,amandaellis,Asia,Failed
2021-10-26 16:43:32.544330,Pamela Monroe,Execution,Credential Dumping,Network,Low,pull,108.172.66.123,lindseysullivan,US,Successful
2021-11-10 15:15:30.445729,Stephanie Salazar,Initial Access,Spearphishing Attachment,Network,Low,woman,130.87.137.169,xlewis,South America,Successful
2020-12-06 14:19:19.637174,Cathy Mason,Execution,Spearphishing Attachment,Phishing,Medium,yourself,93.184.84.26,ublanchard,Australia,Failed
2020-05-03 00:38:09.895744,Eric Castillo,Defense Evasion,Phishing,Phishing,High,debate,25.138.48.111,tina37,US,Failed
2020-06-28 16:05:46.689544,Ann Martinez,Impact,Taint Shared Content,Email,High,bag,99.84.45.168,tbarnes,Europe,Failed
2024-05-15 22:55:04.978210,Sara Prince,Collection,Command and Scripting Interpreter,Email,Medium,sing,3.94.245.59,nmason,Australia,Failed
